ticker,date,pos,neg,unc,manager_ratio,analyst_ratio,other_ratio,net_sentiment,volume,stock_return,sp500_return,sp500_close,lag_stock_return,lag_sp500_return,stock_volatility
AAPL,2006-01-19 13:53:17,0.0206,0.0049,0.0118,0.2105263157894736,0.4736842105263157,0.3157894736842105,0.0157,60724482.0,-0.041885,0.005564,1285.04,-0.026207,-0.003897,0.03096856823171233
AAPL,2006-04-20 11:01:29,0.0286,0.0071,0.0051,0.1304347826086956,0.6086956521739131,0.2608695652173913,0.0215,59592071.0,0.03016,0.001168,1311.46,-0.008608,0.001744,0.027491554166486996
AAPL,2006-07-20 00:49:46,0.0358,0.0082,0.0082,0.1304347826086956,0.5652173913043478,0.3043478260869565,0.0276,70582838.0,0.118299,-0.008477,1249.13,0.022684,0.018555,0.04543892805171451
AAPL,2006-10-19 04:57:25,0.0362,0.0124,0.0176,0.08,0.48,0.44,0.0238,54188273.0,0.059842,0.000732,1366.96,0.003231,0.0014,0.022541323481059774
AAPL,2007-01-18 03:24:19,0.04,0.0144,0.0044,0.1111111111111111,0.4814814814814814,0.4074074074074074,0.0256,84566630.0,-0.061927,-0.002971,1426.37,-0.022142,-0.000894,0.040287530044253964
AAPL,2007-04-26 02:50:27,0.0389,0.0137,0.0084,0.1818181818181818,0.4090909090909091,0.4090909090909091,0.025199999999999997,62277169.0,0.036624,-0.000782,1494.25,0.022608,0.010139,0.018118395982781914
AAPL,2007-07-26 02:59:18,0.0299,0.0075,0.0064,0.05,0.55,0.4,0.0224,78235734.0,0.063675,-0.023339,1482.66,0.017571,0.004666,0.03167793221523987
AAPL,2007-10-23 00:31:48,0.0235,0.0061,0.0082,0.1764705882352941,0.5294117647058824,0.2941176470588235,0.0174,64150965.0,0.067676,0.008803,1519.59,0.023119,0.003798,0.02716111493456937
AAPL,2008-01-23 02:18:18,0.0311,0.0155,0.0124,0.1,0.5,0.4,0.0156,120492275.0,-0.106451,0.021442,1338.6,-0.035449,-0.011085,0.046356819659031816
AAPL,2008-04-24 01:29:11,0.0324,0.0115,0.0094,0.1666666666666666,0.5,0.3333333333333333,0.0209,60622603.0,0.037142,0.006442,1388.82,0.016792,0.0029,0.03400078443278099
AAPL,2008-07-22 00:27:17,0.0313,0.0052,0.0073,0.15,0.5,0.35,0.0261,67127822.0,-0.025678,0.013492,1277.0,0.006903,-0.000539,0.020606790420473795
AAPL,2008-10-21 23:59:26,0.0193,0.0139,0.0107,0.2857142857142857,0.4285714285714285,0.2857142857142857,0.005400000000000002,78389009.0,-0.070601,-0.0308,955.05,0.010678,0.047685,0.0689793567232658
AAPL,2009-01-22 04:58:17,0.0389,0.0116,0.0095,0.1875,0.5,0.3125,0.027299999999999998,51367867.0,0.066763,-0.015162,827.5,0.059207,0.043491,0.03840634805182312
AAPL,2009-04-23 07:06:39,0.0303,0.0121,0.0091,0.2,0.4666666666666667,0.3333333333333333,0.0182,34780643.0,0.032014,0.009922,851.92,-0.002053,-0.007682,0.019745808536665847
AAPL,2009-07-21 23:42:36,0.027,0.0135,0.0083,0.1666666666666666,0.5555555555555556,0.2777777777777778,0.0135,32140395.0,-0.009149,0.003627,954.58,0.007638,0.011432,0.014774814050719294
AAPL,2009-10-19 21:19:11,0.0351,0.0062,0.0072,0.1578947368421052,0.4736842105263157,0.3684210526315789,0.0289,34974472.0,0.009625,0.009405,1097.91,-0.013172,-0.008098,0.00960141797629676
