date,ticker,pos,neg,unc,manager_ratio,analyst_ratio,other_ratio
2021-01-27 19:46:43,BX,0.0386,0.0148,0.0102,0.2,0.45,0.35
2020-10-28 18:55:07,BX,0.0438,0.0308,0.0154,0.2222222222222222,0.5,0.2777777777777778
2020-07-23 19:48:10,BX,0.0342,0.016,0.0183,0.21052631578947367,0.47368421052631576,0.3157894736842105
2020-05-29 22:27:08,BX,0.0228,0.0442,0.0071,0.5,0.5,0.0
2020-04-23 20:14:06,BX,0.0381,0.0565,0.0086,0.23529411764705882,0.4117647058823529,0.35294117647058826
2020-01-30 19:37:17,BX,0.0339,0.0194,0.0085,0.3333333333333333,0.5,0.16666666666666666
2019-10-23 18:26:51,BX,0.0497,0.0303,0.0133,0.42857142857142855,0.5714285714285714,0.0
2019-07-18 19:34:16,BX,0.0318,0.0191,0.0038,0.3157894736842105,0.3684210526315789,0.3157894736842105
2019-06-12 19:05:08,BX,0.0313,0.0313,0.0104,0.5,0.5,0.0
2019-04-18 19:38:09,BX,0.0295,0.0047,0.013,0.3157894736842105,0.42105263157894735,0.2631578947368421
2019-01-31 17:54:07,BX,0.0392,0.0254,0.0208,0.35294117647058826,0.35294117647058826,0.29411764705882354
2018-12-04 23:37:09,BX,0.0339,0.0381,0.0268,1.0,0.0,0.0
2018-10-18 17:15:08,BX,0.0357,0.0156,0.019,0.35714285714285715,0.35714285714285715,0.2857142857142857
2018-07-19 21:55:07,BX,0.0303,0.018,0.0157,0.3333333333333333,0.2777777777777778,0.3888888888888889
2018-04-19 21:10:09,BX,0.0391,0.0166,0.0202,0.35294117647058826,0.35294117647058826,0.29411764705882354
2018-02-01 23:05:07,BX,0.0365,0.0103,0.0103,0.29411764705882354,0.47058823529411764,0.23529411764705882
2017-10-19 23:20:06,BX,0.0468,0.0137,0.0114,0.3125,0.375,0.3125
2017-07-21 05:54:25,BX,0.0377,0.008,0.0137,0.29411764705882354,0.4117647058823529,0.29411764705882354
2017-04-20 22:16:21,BX,0.0305,0.0068,0.0181,0.25,0.4375,0.3125
2017-01-26 23:01:02,BX,0.0427,0.0157,0.0146,0.0,0.4,0.6
2016-10-28 00:36:17,BX,0.0432,0.0216,0.0148,0.0,0.4,0.6
2016-07-21 22:36:49,BX,0.0319,0.025,0.0273,0.2777777777777778,0.4444444444444444,0.2777777777777778
2016-04-22 02:30:16,BX,0.0373,0.0289,0.0157,0.2222222222222222,0.4444444444444444,0.3333333333333333
2016-01-28 21:55:08,BX,0.0417,0.0248,0.0101,0.2631578947368421,0.5263157894736842,0.21052631578947367
2015-12-09 22:11:14,BX,0.0452,0.0274,0.011,0.5,0.5,0.0
2015-10-15 22:35:12,BX,0.0437,0.0449,0.0219,0.29411764705882354,0.5882352941176471,0.11764705882352941
2015-07-17 00:20:04,BX,0.04,0.0109,0.0121,0.29411764705882354,0.4117647058823529,0.29411764705882354
2015-04-16 22:15:03,BX,0.0342,0.0071,0.0106,0.3333333333333333,0.3333333333333333,0.3333333333333333
2015-01-30 00:41:06,BX,0.0426,0.009,0.0146,0.23529411764705882,0.7058823529411765,0.058823529411764705
2014-10-16 22:53:07,BX,0.0328,0.0199,0.0176,0.26666666666666666,0.4,0.3333333333333333
2014-07-17 22:14:07,BX,0.0428,0.0088,0.011,0.2222222222222222,0.4444444444444444,0.3333333333333333
2014-04-17 23:32:08,BX,0.0412,0.008,0.0126,0.3125,0.4375,0.25
2013-10-17 22:01:02,BX,0.0347,0.0139,0.0127,0.25,0.6875,0.0625
2013-07-18 21:09:06,BX,0.038,0.0223,0.0101,0.3125,0.5,0.1875
2013-06-11 22:51:05,BX,0.033,0.0234,0.0124,0.5,0.5,0.0
2013-05-03 19:01:02,BX,0.0397,0.0119,0.0119,0.48,0.36,0.16
2013-04-18 20:21:11,BX,0.0411,0.008,0.0091,0.2857142857142857,0.6428571428571429,0.07142857142857142
2013-03-28 18:51:09,BX,0.014,0.0394,0.0115,1.0,0.0,0.0
2013-03-07 19:01:35,BX,0.02,0.0078,0.0067,0.5,0.0,0.5
2013-02-14 00:16:02,BX,0.0275,0.0312,0.005,1.0,0.0,0.0
2013-01-31 23:41:04,BX,0.0325,0.0101,0.0135,0.25,0.6875,0.0625
2012-10-19 04:06:06,BX,0.0335,0.0139,0.0127,0.3333333333333333,0.5,0.16666666666666666
2012-07-19 20:51:05,BX,0.0237,0.0356,0.0166,0.2857142857142857,0.7142857142857143,0.0
2008-09-20 05:50:15,BX,0.0172,0.0269,0.0118,0.3333333333333333,0.5555555555555556,0.1111111111111111
2007-08-13 21:11:29,BX,0.0251,0.0098,0.0131,0.3333333333333333,0.4444444444444444,0.2222222222222222
2020-12-02 04:23:07,CRM,0.0373,0.0055,0.0166,0.5,0.5,0.0
2020-08-26 05:36:07,CRM,0.0521,0.0121,0.0194,0.42857142857142855,0.5,0.07142857142857142
2020-06-10 01:43:07,CRM,0.0467,0.017,0.0028,0.5,0.5,0.0
2020-06-09 22:30:11,CRM,0.0475,0.0173,0.0029,0.5,0.5,0.0
2020-05-29 04:38:09,CRM,0.0242,0.0255,0.0153,0.5,0.2857142857142857,0.21428571428571427
