ticker,date,volume,stock_return,sp500_return,sp500_close
AAPL,2005-11-16,28207953.0,0.042871,0.00179,1231.21
AAPL,2005-11-17,24161976.0,-0.00662,0.009414,1242.8
AAPL,2005-11-18,18846012.0,0.00062,0.004401,1248.27
AAPL,2005-11-21,18335669.0,0.006196,0.005271,1254.85
AAPL,2005-11-22,19365959.0,0.024015,0.005084,1261.23
AAPL,2005-11-23,17380457.0,0.00887,0.003473,1265.61
AAPL,2005-11-25,14133026.0,0.033229,0.002086,1268.25
AAPL,2005-11-28,36455589.0,0.004615,-0.008508,1257.46
AAPL,2005-11-29,31927508.0,-0.022395,1.6e-05,1257.48
AAPL,2005-11-30,21629714.0,-0.004112,-0.006362,1249.48
AAPL,2005-12-01,29188011.0,0.055737,0.012157,1264.67
AAPL,2005-12-02,32014367.0,0.014384,0.000324,1265.08
AAPL,2005-12-05,20985125.0,-0.011152,-0.002363,1262.09
AAPL,2005-12-06,30656121.0,0.03105,0.001276,1263.7
AAPL,2005-12-07,24374550.0,-0.001351,-0.005009,1257.37
AAPL,2005-12-08,28327036.0,0.001758,-0.001217,1255.84
AAPL,2005-12-09,19934665.0,0.003381,0.002811,1259.37
AAPL,2005-12-12,18799161.0,0.007796,0.000842,1260.43
AAPL,2005-12-13,17659429.0,0.000934,0.005554,1267.43
AAPL,2005-12-14,51871116.0,-0.039611,0.00419,1272.74
AAPL,2005-12-15,20101464.0,0.002361,-0.001414,1270.94
AAPL,2005-12-16,25086291.0,-0.014824,-0.002848,1267.32
AAPL,2005-12-19,18932480.0,0.003797,-0.005839,1259.92
AAPL,2005-12-20,18024187.0,0.010227,-0.000238,1259.62
AAPL,2005-12-21,17001915.0,0.019276,0.002517,1262.79
AAPL,2005-12-22,13438442.0,0.007075,0.004221,1268.12
AAPL,2005-12-23,8229223.0,-0.009052,0.000426,1268.66
AAPL,2005-12-27,21168243.0,0.011997,-0.009553,1256.54
AAPL,2005-12-28,14284184.0,-0.008891,0.001297,1258.17
AAPL,2005-12-29,17538754.0,-0.028816,-0.002981,1254.42
AAPL,2005-12-30,22337331.0,0.006158,-0.004887,1248.29
AAPL,2006-01-03,28860069.0,0.039783,0.01643,1268.8
AAPL,2006-01-04,22261455.0,0.002943,0.003673,1273.46
AAPL,2006-01-05,16102505.0,-0.00787,1.6e-05,1273.48
AAPL,2006-01-06,25206143.0,0.025813,0.009399,1285.45
AAPL,2006-01-09,24160471.0,-0.003277,0.003656,1290.15
AAPL,2006-01-10,81629888.0,0.063248,-0.000357,1289.69
AAPL,2006-01-11,53512928.0,0.037596,0.003481,1294.18
AAPL,2006-01-12,46006731.0,0.00466,-0.006274,1286.06
AAPL,2006-01-13,27897420.0,0.01541,0.001205,1287.61
AAPL,2006-01-17,29887895.0,-0.010279,-0.003635,1282.93
AAPL,2006-01-18,44285867.0,-0.026207,-0.003897,1277.93
