ticker,date,pos,neg,unc,ceo_ratio,analyst_ratio,net_sentiment,sector,Adj Close,returns_market,rolling_corr_net_sent,recommendation_mean,PE Ratio
ABBV,2013-09-10 22:25:10,0.0637,0.0083,0.0069,0.5,0.0,0.0554,Healthcare,28.4239501953125,0.0078773217363099,-0.7200190669864187,2.2,13.19
ABBV,2013-10-25 16:30:05,0.0472,0.0173,0.0115,0.4166666666666667,0.0,0.0299,Healthcare,31.57486915588379,0.0285832925787314,-0.3188704343613055,2.2,13.19
ABBV,2014-01-31 16:51:14,0.0417,0.0214,0.0158,0.4166666666666667,0.0,0.0203,Healthcare,31.77977752685547,0.0190436494308849,-0.3091467384179405,2.2,13.19
ABBV,2014-03-05 18:57:07,0.0474,0.0325,0.0149,0.6666666666666666,0.0,0.0148999999999999,Healthcare,33.37424087524414,0.0021316693559758,-0.042403654669838,2.2,12.89
ABBV,2014-04-25 18:44:09,0.0367,0.0201,0.0154,0.3076923076923077,0.0,0.0166,Healthcare,32.00557327270508,-0.0036498890129731,0.9027070555614436,2.2,12.89
ABBV,2014-07-25 15:58:12,0.0461,0.011,0.0099,0.3333333333333333,0.0,0.0351,Healthcare,34.89961242675781,-0.016641815942986,-0.6012732913886825,2.2,14.17
ABBV,2014-10-31 19:29:15,0.0353,0.0125,0.0091,0.0666666666666666,0.0,0.0227999999999999,Healthcare,41.95658493041992,0.0372670133821775,-0.3008221636785973,2.2,16.46
ABBV,2015-01-30 20:44:14,0.0497,0.0059,0.0083,0.3333333333333333,0.0,0.0438,Healthcare,40.199947357177734,-0.0438849345786999,-0.7446258964911849,2.2,32.99
ABBV,2015-03-05 21:41:17,0.0611,0.018,0.0084,0.3125,0.0,0.0431,Healthcare,37.87521743774414,-0.0565786150518148,-0.9879229531627068,2.2,30.92
ABBV,2015-03-13 06:15:11,0.0664,0.0083,0.0111,0.5,0.0,0.0581,Healthcare,38.63459777832031,0.0,-0.4603946694576297,2.2,30.92
ABBV,2015-04-23 21:30:10,0.0541,0.015,0.0115,0.3333333333333333,0.0,0.0391,Healthcare,43.15275192260742,-0.0041849420433063,0.4135987267319867,2.2,30.92
ABBV,2015-07-24 18:17:10,0.0721,0.0081,0.014,0.3846153846153846,0.0,0.064,Healthcare,46.06447982788086,-0.0346000240639926,0.056829380568157,2.2,25.33
ABBV,2015-10-30 23:38:12,0.0349,0.0146,0.0214,0.3846153846153846,0.0,0.0203,Healthcare,40.66476058959961,0.100739321431813,-0.8985501875774011,2.2,21.76
ABBV,2016-01-29 18:50:13,0.055,0.008,0.0103,0.2666666666666666,0.0,0.047,Healthcare,37.8831787109375,-0.0170099183445524,-0.9187028740149116,2.2,12.96
ABBV,2016-04-29 05:36:22,0.0508,0.0169,0.0102,0.3846153846153846,0.0,0.0339,Healthcare,42.49688720703125,-0.0032678323402668,-0.8729669120026795,2.2,16.22
ABBV,2016-07-29 20:04:23,0.0597,0.0172,0.0092,0.1538461538461538,0.0,0.0425,Healthcare,46.54551696777344,0.0233313579522953,-0.8643333009866179,2.2,12.43
ABBV,2016-10-28 18:47:11,0.0427,0.0058,0.0081,0.2857142857142857,0.0,0.0369,Healthcare,40.85371780395508,-0.0628051533322068,0.2511574801718862,2.2,12.28
ABBV,2017-01-27 19:31:15,0.0445,0.0156,0.0122,0.0714285714285714,0.0,0.0289,Healthcare,42.9853401184082,-0.0207278926261564,0.357521546011839,2.2,11.94
ABBV,2017-04-27 19:34:39,0.0368,0.0184,0.0138,0.0,0.0,0.0184,Healthcare,47.804935455322266,0.0158362875954065,-0.1842085461949195,2.2,12.1
ABBV,2017-07-28 22:38:23,0.0544,0.0113,0.0102,0.0,0.0,0.0431,Healthcare,51.42498397827149,-0.0179839517795791,-0.653023636106951,2.2,12.9
ABBV,2017-10-27 18:12:06,0.0418,0.0215,0.0084,0.0,0.0,0.0203,Healthcare,67.58204650878906,0.0264630067284723,-0.8022402441916548,2.2,15.79
ABBV,2018-01-26 21:18:06,0.0527,0.0092,0.0115,0.3333333333333333,0.0,0.0435,Healthcare,91.22715759277344,0.1376731569450451,0.3451331306779343,2.2,21.62
ABBV,2018-04-26 18:04:21,0.064,0.0116,0.014,0.0,0.0,0.0524,Healthcare,72.89384460449219,0.0606294433915126,0.2562978612974283,2.2,17.66
ABBV,2018-07-27 21:46:59,0.0604,0.0107,0.013,0.0909090909090909,0.0909090909090909,0.0497,Healthcare,68.4388656616211,-0.0359805339494172,0.0267724466942433,2.2,17.16
ABBV,2018-09-12 19:19:10,0.0347,0.0232,0.009,0.0,0.0,0.0115,Healthcare,70.46420288085938,0.0006438827723818,0.2288822415849324,2.2,14.77
ABBV,2018-11-02 16:23:27,0.0478,0.007,0.0117,0.0,0.0,0.0408,Healthcare,60.769020080566406,-0.0081039765729181,0.1758723325718821,2.2,14.77
ABBV,2018-11-27 20:25:24,0.0267,0.0053,0.0093,0.0,0.0,0.0214,Healthcare,66.9712142944336,0.0166976975023409,-0.802338080903782,2.2,19.67
ABBV,2019-01-09 21:27:30,0.0628,0.0083,0.0107,0.5,0.0,0.0544999999999999,Healthcare,67.07048797607422,-0.0328233697948204,-0.8345779111720479,2.2,19.67
ABBV,2019-01-25 18:52:18,0.0446,0.0241,0.0193,0.1666666666666666,0.0833333333333333,0.0205,Healthcare,62.272090911865234,-0.0621799345489491,-0.0439426559659651,2.2,19.67
ABBV,2019-03-12 16:14:08,0.0656,0.0171,0.0143,0.5,0.0,0.0485,Healthcare,60.8803596496582,0.0084530514583733,0.1189117737631716,2.2,17.86
ABBV,2019-03-13 19:19:09,0.0439,0.012,0.0146,0.3333333333333333,0.0,0.0319,Healthcare,61.02727127075195,0.0024131201250972,0.4514039270563205,2.2,17.86
ABBV,2019-04-25 22:11:10,0.0574,0.0164,0.0105,0.1666666666666666,0.0,0.0409999999999999,Healthcare,62.15763854980469,0.0085164286790799,0.8656251696111967,2.2,17.86
ABBV,2019-06-12 21:21:57,0.0298,0.0117,0.0207,0.6666666666666666,0.0,0.0180999999999999,Healthcare,61.55439758300781,0.005117240826004,0.6440585336230605,2.2,20.95
ABBV,2019-06-25 19:29:10,0.0343,0.0581,0.0092,0.1764705882352941,0.0588235294117647,-0.0238,Healthcare,51.47159194946289,-0.1625239759329207,0.948516827032472,2.2,20.95
ABBV,2019-07-26 17:56:58,0.0327,0.0497,0.0078,0.3846153846153846,0.0769230769230769,-0.017,Healthcare,53.89496612548828,0.0165014616275112,0.5872826065568924,2.2,20.95
ABBV,2019-09-10 20:22:25,0.0392,0.0216,0.0149,0.6666666666666666,0.0,0.0175999999999999,Healthcare,54.22901153564453,0.0221888263115035,0.6606217870893407,2.2,27.77
ABBV,2019-11-01 19:45:10,0.0334,0.0527,0.009,0.4166666666666667,0.0833333333333333,-0.0192999999999999,Healthcare,65.970458984375,0.0276553291032533,0.4591218305888849,2.2,27.77
ABBV,2020-01-15 19:22:17,0.0505,0.0093,0.0252,0.5,0.0,0.0412,Healthcare,73.00403594970703,0.0120183180594701,-0.6221467368433969,2.2,13.54
ABBV,2020-02-07 18:36:46,0.0307,0.0473,0.0141,0.3076923076923077,0.0769230769230769,-0.0166,Healthcare,75.48221588134766,0.058614646744143,-0.7504821113922246,2.2,13.54
ABBV,2020-05-01 19:27:53,0.0209,0.0561,0.0235,0.2857142857142857,0.0714285714285714,-0.0351999999999999,Healthcare,68.76370239257812,0.0077861099662521,-0.2129832094603992,2.2,11.03
ABBV,2020-07-31 19:59:11,0.0449,0.0112,0.0157,0.2857142857142857,0.0714285714285714,0.0337,Healthcare,79.74430847167969,-0.0117660606927004,-0.4572392699561429,2.2,17.33
