ticker,date,pos,neg,unc,ceo_ratio,analyst_ratio,net_sentiment,sector,Adj Close,returns_market,rolling_corr_net_sent,recommendation_mean
ABBV,2013-03-13 23:56:19,0.0222,0.025,0.018,0.0,0.0,-0.0028000000000000004,Healthcare,23.164216995239258,0.0,,2.2
ABBV,2013-04-26 16:01:16,0.0308,0.0262,0.0137,0.0714285714285714,0.0,0.0046,Healthcare,28.831737518310547,0.03616652493419825,,2.2
ABBV,2013-05-15 03:26:07,0.0437,0.0159,0.0106,0.6666666666666666,0.0,0.027800000000000002,Healthcare,28.951234817504883,0.01499456887630446,,2.2
ABBV,2013-06-13 23:59:05,0.053,0.0149,0.0109,0.0,0.0,0.038099999999999995,Healthcare,27.139814376831055,0.008884429877816347,-0.10659737121397392,2.2
ABBV,2013-07-26 17:10:06,0.0291,0.019,0.0101,0.3333333333333333,0.0,0.010100000000000001,Healthcare,28.4303035736084,0.012432219999793492,-0.721581797487238,2.2
ABBV,2013-09-10 22:25:10,0.0637,0.0083,0.0069,0.5,0.0,0.055400000000000005,Healthcare,28.4239444732666,0.007877323334591235,-0.7200605856396335,2.2
ABBV,2013-10-25 16:30:05,0.0472,0.0173,0.0115,0.4166666666666667,0.0,0.0299,Healthcare,31.574871063232422,0.028583802081359355,-0.31889052933088297,2.2
ABBV,2014-01-31 16:51:14,0.0417,0.0214,0.0158,0.4166666666666667,0.0,0.020300000000000002,Healthcare,31.7797794342041,0.019043585940809793,-0.3091601095796112,2.2
ABBV,2014-03-05 18:57:07,0.0474,0.0325,0.0149,0.6666666666666666,0.0,0.014899999999999997,Healthcare,33.374237060546875,0.0021316696001463242,-0.042402088832970954,2.2
ABBV,2014-04-25 18:44:09,0.0367,0.0201,0.0154,0.3076923076923077,0.0,0.016600000000000004,Healthcare,32.005558013916016,-0.0036500090668334373,0.9027111138650067,2.2
ABBV,2014-07-25 15:58:12,0.0461,0.011,0.0099,0.3333333333333333,0.0,0.035100000000000006,Healthcare,34.89960861206055,-0.01664202912586188,-0.601275928131618,2.2
ABBV,2014-10-31 19:29:15,0.0353,0.0125,0.0091,0.0666666666666666,0.0,0.022799999999999997,Healthcare,41.95658493041992,0.03726711120520987,-0.3008236482892015,2.2
ABBV,2015-01-30 20:44:14,0.0497,0.0059,0.0083,0.3333333333333333,0.0,0.0438,Healthcare,40.1999626159668,-0.04388439816956602,-0.7446229775504098,2.2
ABBV,2015-03-05 21:41:17,0.0611,0.018,0.0084,0.3125,0.0,0.0431,Healthcare,37.87521743774414,-0.05657870469480508,-0.9879218858737925,2.2
ABBV,2015-03-13 06:15:11,0.0664,0.0083,0.0111,0.5,0.0,0.0581,Healthcare,38.63459396362305,0.0,-0.46039571522273814,2.2
ABBV,2015-04-23 21:30:10,0.0541,0.015,0.0115,0.3333333333333333,0.0,0.0391,Healthcare,43.152767181396484,-0.004184852908217018,0.4135973626679858,2.2
ABBV,2015-07-24 18:17:10,0.0721,0.0081,0.014,0.3846153846153846,0.0,0.064,Healthcare,46.06448745727539,-0.03460025007355105,0.05682575443636513,2.2
ABBV,2015-10-30 23:38:12,0.0349,0.0146,0.0214,0.3846153846153846,0.0,0.0203,Healthcare,40.664764404296875,0.10073908370802442,-0.8985507709676015,2.2
ABBV,2016-01-29 18:50:13,0.055,0.008,0.0103,0.2666666666666666,0.0,0.047,Healthcare,37.88317108154297,-0.01700992171195559,-0.9187038376618964,2.2
ABBV,2016-04-29 05:36:22,0.0508,0.0169,0.0102,0.3846153846153846,0.0,0.0339,Healthcare,42.496891021728516,-0.0032676536909804765,-0.8729683941559663,2.2
ABBV,2016-07-29 20:04:23,0.0597,0.0172,0.0092,0.1538461538461538,0.0,0.0425,Healthcare,46.54552459716797,0.02333161151436447,-0.8643330626399415,2.2
ABBV,2016-10-28 18:47:11,0.0427,0.0058,0.0081,0.2857142857142857,0.0,0.0369,Healthcare,40.85372543334961,-0.06280489629784813,0.25115540737572645,2.2
ABBV,2017-01-27 19:31:15,0.0445,0.0156,0.0122,0.0714285714285714,0.0,0.0289,Healthcare,42.9853401184082,-0.020727892626156486,0.35752447527261505,2.2
ABBV,2017-04-27 19:34:39,0.0368,0.0184,0.0138,0.0,0.0,0.0184,Healthcare,47.80492401123047,0.01583629144651555,-0.18420546479301345,2.2
ABBV,2017-07-28 22:38:23,0.0544,0.0113,0.0102,0.0,0.0,0.0431,Healthcare,51.42497634887695,-0.017984169006898476,-0.6530271541442065,2.2
ABBV,2017-10-27 18:12:06,0.0418,0.0215,0.0084,0.0,0.0,0.0203,Healthcare,67.58203887939453,0.026462652960741462,-0.802243515600123,2.2
ABBV,2018-01-26 21:18:06,0.0527,0.0092,0.0115,0.3333333333333333,0.0,0.0435,Healthcare,91.2271499633789,0.13767306180059902,0.3451329682735187,2.2
ABBV,2018-04-26 18:04:21,0.064,0.0116,0.014,0.0,0.0,0.0524,Healthcare,72.89382934570312,0.06062910363045515,0.25629818952950073,2.2
ABBV,2018-07-27 21:46:59,0.0604,0.0107,0.013,0.0909090909090909,0.0909090909090909,0.0497,Healthcare,68.43888092041016,-0.03598031901643228,0.026774176110360346,2.2
ABBV,2018-09-12 19:19:10,0.0347,0.0232,0.009,0.0,0.0,0.011500000000000003,Healthcare,70.46424102783203,0.0006442076619541659,0.2288801367078754,2.2
ABBV,2018-11-02 16:23:27,0.0478,0.007,0.0117,0.0,0.0,0.0408,Healthcare,60.76905059814453,-0.008103601973775354,0.1758690256867312,2.2
ABBV,2018-11-27 20:25:24,0.0267,0.0053,0.0093,0.0,0.0,0.021400000000000002,Healthcare,66.97119903564453,0.016697348100264575,-0.8023408711004345,2.2
ABBV,2019-01-09 21:27:30,0.0628,0.0083,0.0107,0.5,0.0,0.05449999999999999,Healthcare,67.07048797607422,-0.0328231569807752,-0.8345816671228276,2.2
ABBV,2019-01-25 18:52:18,0.0446,0.0241,0.0193,0.1666666666666666,0.0833333333333333,0.0205,Healthcare,62.27208709716797,-0.062179884243867556,-0.04393647323537295,2.2
ABBV,2019-03-12 16:14:08,0.0656,0.0171,0.0143,0.5,0.0,0.0485,Healthcare,60.880348205566406,0.008452543279262148,0.11891370366679607,2.2
